Month,magazine
2013-01,16
2013-02,16
2013-03,20
2013-04,19
2013-05,17
2013-06,13
2013-07,14
2013-08,15
2013-09,17
2013-10,15
2013-11,15
2013-12,16
2014-01,15
2014-02,16
2014-03,16
2014-04,16
2014-05,17
2014-06,13
2014-07,11
2014-08,12
2014-09,13
2014-10,15
2014-11,15
2014-12,16
2015-01,17
2015-02,16
2015-03,18
2015-04,17
2015-05,16
2015-06,12
2015-07,12
2015-08,12
2015-09,12
2015-10,13
2015-11,13
2015-12,14
2016-01,16
2016-02,14
2016-03,16
2016-04,16
2016-05,15
2016-06,12
2016-07,10
2016-08,9
2016-09,10
2016-10,13
2016-11,14
2016-12,14
2017-01,13
2017-02,14
2017-03,16
2017-04,17
2017-05,15
2017-06,11
2017-07,10
2017-08,10
2017-09,11
2017-10,13
2017-11,13
2017-12,16
2018-01,14
2018-02,13
2018-03,13
2018-04,16
2018-05,13
2018-06,12
2018-07,10
2018-08,9
2018-09,11
2018-10,13
2018-11,13
2018-12,15
2019-01,13
2019-02,12
2019-03,13
2019-04,14
2019-05,12
2019-06,9
2019-07,8
2019-08,10
2019-09,11
2019-10,13
2019-11,13
2019-12,15
